Source,Target,Type,Weight
133663801,1,Directed,1
133663801,72,Directed,1
4897361049,2,Directed,1
4897361049,72,Directed,1
15658101,3,Directed,1
15658101,48,Directed,1
15658101,730695757536317440,Directed,1
15658101,52,Directed,1
15658101,53,Directed,1
15658101,68,Directed,1
38170599,4,Directed,1
38170599,5,Directed,1
26110930,408398312,Directed,1
26110930,7,Directed,1
26110930,33,Directed,1
26110930,374184532,Directed,2
26110930,38,Directed,2
26110930,491343921,Directed,2
26110930,65,Directed,1
26110930,66,Directed,1
26110930,600345740,Directed,1
26110930,234948120,Directed,1
78085410,8,Directed,1
80820758,9,Directed,1
85362553,10,Directed,1
85362553,11,Directed,1
85362553,12,Directed,1
85362553,38170599,Directed,1
85362553,213754264,Directed,1
85362553,15,Directed,1
85362553,24,Directed,1
85362553,27,Directed,1
85362553,28,Directed,1
85362553,600345740,Directed,1
85362553,29,Directed,1
85362553,801822323825410049,Directed,1
85362553,35,Directed,1
85362553,36,Directed,1
85362553,39,Directed,1
85362553,40,Directed,2
85362553,41,Directed,2
85362553,46,Directed,1
85362553,49,Directed,1
85362553,50,Directed,1
85362553,58,Directed,1
85362553,59,Directed,1
85362553,60,Directed,1
85362553,61,Directed,1
85362553,62,Directed,1
85362553,63,Directed,1
85362553,64,Directed,2
85362553,69,Directed,3
85362553,70,Directed,2
85362553,85,Directed,1
2279012240,18396319,Directed,1
2279012240,34570323,Directed,1
2279012240,26,Directed,1
2850651695,17,Directed,1
2850651695,18,Directed,1
2850651695,19,Directed,1
19976004,20,Directed,1
951480480,600345740,Directed,1
68440549,22,Directed,1
68440549,47,Directed,1
68440549,801822323825410049,Directed,1
34294667,379718466,Directed,1
34294667,30,Directed,1
34294667,31,Directed,1
34294667,56,Directed,1
34294667,78,Directed,1
34294667,79,Directed,1
34294667,80,Directed,1
904677286670151680,32,Directed,1
53029114,38409296,Directed,1
53029114,67,Directed,1
53029114,77,Directed,1
29707536,42,Directed,1
29707536,43,Directed,1
29707536,44,Directed,1
29707536,68440549,Directed,1
1308840734158618624,600345740,Directed,1
123830541,54,Directed,1
123830541,55,Directed,1
40056514,57,Directed,1
357412940,71,Directed,1
266215308,73,Directed,1
266215308,74,Directed,1
32861321,75,Directed,1
32861321,76,Directed,3
12786782,81,Directed,1
12786782,82,Directed,2
12786782,83,Directed,2
