Id,Label,Kind,Weight
1,âge,mot,1586
2,départ,mot,716
3,retraite,mot,5013
4,pouvoir,mot,669
7,jeune,mot,179
13,mettre,mot,213
14,député,mot,293
16,réforme,mot,1614
25,#reformedesretraites,hashtag,4089
26,#retraite,hashtag,1064
27,#macron,hashtag,383
28,#borne,hashtag,66
29,#greve,hashtag,71
31,#dussopt,hashtag,52
41,français,mot,689
46,an,mot,2191
55,@gouvernementfr,personne,80
56,@renaissance,personne,88
58,@olivierdussopt,personne,215
63,voir,mot,350
67,aller,mot,834
68,falloir,mot,484
76,demander,mot,206
81,travailler,mot,385
85,faire,mot,1334
95,age,mot,160
99,@maudbregeon,personne,117
100,@deputesre,personne,178
101,@auroreberge,personne,93
104,@vspillebout,personne,66
106,@midy_paul,personne,61
107,@benjaminhaddad,personne,64
109,@sylvainmaillard,personne,67
112,contre,mot,1032
113,#greve7fevrier,hashtag,231
120,pays,mot,258
123,vie,mot,280
124,@mathildepanot,personne,83
126,peuple,mot,188
127,non,mot,529
128,voter,mot,396
133,#nupe,hashtag,182
134,vouloir,mot,612
137,@jlmelenchon,personne,103
154,réform,mot,521
156,million,mot,245
157,rien,mot,316
159,bon,mot,276
166,monde,mot,200
171,devoir,mot,440
172,commencer,mot,157
178,passer,mot,333
188,ministre,mot,174
194,rue,mot,201
209,manifestation,mot,176
215,#grevegeneral,hashtag,89
222,partir,mot,424
226,travail,mot,294
233,social,mot,289
242,légal,mot,197
245,année,mot,200
247,oui,mot,229
251,bien,mot,449
258,janvier,mot,189
284,droit,mot,173
287,payer,mot,198
296,macron,mot,1063
319,politique,mot,192
328,plein,mot,152
336,#greve11fevrier,hashtag,68
344,projet,mot,363
348,@franceinfo,personne,117
361,petit,mot,152
368,france,mot,384
371,temps,mot,158
387,gouvernement,mot,399
391,jour,mot,164
408,#lfi,hashtag,82
422,taire,mot,276
424,savoir,mot,220
430,@elisabeth_borne,personne,350
438,taux,mot,231
440,femme,mot,237
465,@lci,personne,68
494,mobilisation,mot,208
496,venir,mot,158
522,loi,mot,158
543,l,mot,160
544,système,mot,294
552,#grevegeneraleillimitee,hashtag,66
579,jamais,mot,158
595,augmenter,mot,170
642,@emmanuelmacron,personne,246
707,grand,mot,155
723,cotisation,mot,238
733,injuste,mot,214
734,pension,mot,206
827,prendre,mot,346
836,@bfmtv,personne,411
837,#64anscestnon,hashtag,94
874,pourcent,mot,685
900,président,mot,154
902,riche,mot,227
908,mois,mot,163
914,point,mot,162
916,#manifestation,hashtag,72
932,#greve31janvier,hashtag,400
933,#directan,hashtag,149
966,grève,mot,255
1012,@olivierveran,personne,136
1029,régime,mot,212
1047,#31janvier,hashtag,61
1048,#manif31janvier,hashtag,67
1073,@lesrepublicain,personne,54
1084,#france,hashtag,131
1096,retraité,mot,181
1174,@mlp_officiel,personne,64
1199,#cgt,hashtag,69
1229,@cnews,personne,141
1266,@franceinsoumise,personne,53
1385,#manif7fevrier,hashtag,53
1403,#grevegenerale19janvier,hashtag,104
1404,#greve19janvier,hashtag,283
1441,@priscathevenot,personne,75
1455,#travail,hashtag,200
1477,@brunolemaire,personne,73
1478,@gabrielattal,personne,80
1496,#manif19janvier,hashtag,85
1516,effort,mot,178
1744,#marche21janvier,hashtag,55
1775,#grevegenerale,hashtag,73
2059,#macronie,hashtag,64
2110,financier,mot,153
2150,#réform,hashtag,191
2173,#viechère,hashtag,171
2751,taxer,mot,170
3116,@gdarmanin,personne,58
